business_description,nic_code,nic_description
"We are engaged in preserving in sugar of fruit, nuts, fruit peels and other parts of plants in our region.",10736,"Preserving in sugar of fruit, nuts, fruit peels and other parts of plants"
"Our business specializes in manufacture of other cocoa, chocolate, sugar confectionery products n.e.c..",10739,"Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c."
"We provide services related to manufacture of other cocoa, chocolate, sugar confectionery products n.e.c..",10739,"Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c."
"We are engaged in manufacture of other cocoa, chocolate, sugar confectionery products n.e.c. in our region.",10739,"Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c."
"Our business specializes in manufacture of macaroni, noodles, couscous and similar farinaceous.",10740,"Manufacture of macaroni, noodles, couscous and similar farinaceous"
"We provide services related to manufacture of macaroni, noodles, couscous and similar farinaceous.",10740,"Manufacture of macaroni, noodles, couscous and similar farinaceous"
"We are engaged in manufacture of macaroni, noodles, couscous and similar farinaceous in our region.",10740,"Manufacture of macaroni, noodles, couscous and similar farinaceous"
Our business specializes in manufacture of prepared meals and dishes.,10750,Manufacture of prepared meals and dishes
We provide services related to manufacture of prepared meals and dishes.,10750,Manufacture of prepared meals and dishes
We are engaged in manufacture of prepared meals and dishes in our region.,10750,Manufacture of prepared meals and dishes
Our business specializes in processing and blending of tea including manufacture of instant tea.,10791,Processing and blending of tea including manufacture of instant tea
We provide services related to processing and blending of tea including manufacture of instant tea.,10791,Processing and blending of tea including manufacture of instant tea
We are engaged in processing and blending of tea including manufacture of instant tea in our region.,10791,Processing and blending of tea including manufacture of instant tea
"Our business specializes in coffee curing, roasting, grinding blending etc. and manufacturing of coffee.",10792,"Coffee curing, roasting, grinding blending etc. and manufacturing of coffee"
"We provide services related to coffee curing, roasting, grinding blending etc. and manufacturing of coffee.",10792,"Coffee curing, roasting, grinding blending etc. and manufacturing of coffee"
"We are engaged in coffee curing, roasting, grinding blending etc. and manufacturing of coffee in our region.",10792,"Coffee curing, roasting, grinding blending etc. and manufacturing of coffee"
Our business specializes in processing of edible nuts.,10793,Processing of edible nuts
We provide services related to processing of edible nuts.,10793,Processing of edible nuts
We are engaged in processing of edible nuts in our region.,10793,Processing of edible nuts
We run a local restaurant serving homemade meals.,10794,Manufacture of malted foods including foods for infants and handicapped
I own a food truck that sells snacks and lunch boxes.,10794,Manufacture of malted foods including foods for infants and handicapped
We provide tiffin and catering services in the city.,10794,Manufacture of malted foods including foods for infants and handicapped
Our business specializes in grinding and processing of spices.,10795,Grinding and processing of spices
We provide services related to grinding and processing of spices.,10795,Grinding and processing of spices
We are engaged in grinding and processing of spices in our region.,10795,Grinding and processing of spices
We run a local restaurant serving homemade meals.,10796,"Manufacture of papads, appalam and similar food products"
I own a food truck that sells snacks and lunch boxes.,10796,"Manufacture of papads, appalam and similar food products"
We provide tiffin and catering services in the city.,10796,"Manufacture of papads, appalam and similar food products"
"Our business specializes in manufacture of vitaminised high protein flour, frying of dal and other.",10797,"Manufacture of vitaminised high protein flour, frying of dal and other"
"We provide services related to manufacture of vitaminised high protein flour, frying of dal and other.",10797,"Manufacture of vitaminised high protein flour, frying of dal and other"
"We are engaged in manufacture of vitaminised high protein flour, frying of dal and other in our region.",10797,"Manufacture of vitaminised high protein flour, frying of dal and other"
We run a local restaurant serving homemade meals.,10798,"Processing of salt into food-grade salt, e.g. iodized salt"
I own a food truck that sells snacks and lunch boxes.,10798,"Processing of salt into food-grade salt, e.g. iodized salt"
We provide tiffin and catering services in the city.,10798,"Processing of salt into food-grade salt, e.g. iodized salt"
We run a local restaurant serving homemade meals.,10799,"Other semi-processed, processed or instant foods n.e.c. except farinaceous"
I own a food truck that sells snacks and lunch boxes.,10799,"Other semi-processed, processed or instant foods n.e.c. except farinaceous"
We provide tiffin and catering services in the city.,10799,"Other semi-processed, processed or instant foods n.e.c. except farinaceous"
Our business specializes in manufacture of cattle feed.,10801,Manufacture of cattle feed
We provide services related to manufacture of cattle feed.,10801,Manufacture of cattle feed
We are engaged in manufacture of cattle feed in our region.,10801,Manufacture of cattle feed
Our business specializes in manufacture of poultry feed.,10802,Manufacture of poultry feed
We provide services related to manufacture of poultry feed.,10802,Manufacture of poultry feed
We are engaged in manufacture of poultry feed in our region.,10802,Manufacture of poultry feed
"Our business specializes in manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc..",10803,"Manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc."
"We provide services related to manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc..",10803,"Manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc."
"We are engaged in manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc. in our region.",10803,"Manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc."
Our business specializes in manufacture of other animal feeds n.e.c..,10809,Manufacture of other animal feeds n.e.c.
We provide services related to manufacture of other animal feeds n.e.c..,10809,Manufacture of other animal feeds n.e.c.
We are engaged in manufacture of other animal feeds n.e.c. in our region.,10809,Manufacture of other animal feeds n.e.c.
"Our business specializes in manufacture of distilled, potable, alcoholic beverages such as whisky,.",11011,"Manufacture of distilled, potable, alcoholic beverages such as whisky,"
"We provide services related to manufacture of distilled, potable, alcoholic beverages such as whisky,.",11011,"Manufacture of distilled, potable, alcoholic beverages such as whisky,"
"We are engaged in manufacture of distilled, potable, alcoholic beverages such as whisky, in our region.",11011,"Manufacture of distilled, potable, alcoholic beverages such as whisky,"
Our business specializes in manufacture of country liquor.,11012,Manufacture of country liquor
We provide services related to manufacture of country liquor.,11012,Manufacture of country liquor
We are engaged in manufacture of country liquor in our region.,11012,Manufacture of country liquor
"Our business specializes in distilling, rectifying and blending of spirits.",11019,"Distilling, rectifying and blending of spirits"
"We provide services related to distilling, rectifying and blending of spirits.",11019,"Distilling, rectifying and blending of spirits"
"We are engaged in distilling, rectifying and blending of spirits in our region.",11019,"Distilling, rectifying and blending of spirits"
Our business specializes in manufacture of wines.,11020,Manufacture of wines
We provide services related to manufacture of wines.,11020,Manufacture of wines
We are engaged in manufacture of wines in our region.,11020,Manufacture of wines
Our business specializes in manufacture of beer.,11031,Manufacture of beer
We provide services related to manufacture of beer.,11031,Manufacture of beer
We are engaged in manufacture of beer in our region.,11031,Manufacture of beer
Our business specializes in manufacture of malt liquors other than beer.,11032,Manufacture of malt liquors other than beer
We provide services related to manufacture of malt liquors other than beer.,11032,Manufacture of malt liquors other than beer
We are engaged in manufacture of malt liquors other than beer in our region.,11032,Manufacture of malt liquors other than beer
Our business specializes in manufacture of malt.,11033,Manufacture of malt
We provide services related to manufacture of malt.,11033,Manufacture of malt
We are engaged in manufacture of malt in our region.,11033,Manufacture of malt
Our business specializes in manufacture of malt liquors and malt n.e.c..,11039,Manufacture of malt liquors and malt n.e.c.
We provide services related to manufacture of malt liquors and malt n.e.c..,11039,Manufacture of malt liquors and malt n.e.c.
We are engaged in manufacture of malt liquors and malt n.e.c. in our region.,11039,Manufacture of malt liquors and malt n.e.c.
Our business specializes in manufacture of aerated drinks.,11041,Manufacture of aerated drinks
We provide services related to manufacture of aerated drinks.,11041,Manufacture of aerated drinks
We are engaged in manufacture of aerated drinks in our region.,11041,Manufacture of aerated drinks
Our business specializes in manufacture of synthetic flavoured concentrates and syrups.,11042,Manufacture of synthetic flavoured concentrates and syrups
We provide services related to manufacture of synthetic flavoured concentrates and syrups.,11042,Manufacture of synthetic flavoured concentrates and syrups
We are engaged in manufacture of synthetic flavoured concentrates and syrups in our region.,11042,Manufacture of synthetic flavoured concentrates and syrups
Our business specializes in manufacture of mineral water.,11043,Manufacture of mineral water
We provide services related to manufacture of mineral water.,11043,Manufacture of mineral water
We are engaged in manufacture of mineral water in our region.,11043,Manufacture of mineral water
Our business specializes in manufacture of ice.,11044,Manufacture of ice
We provide services related to manufacture of ice.,11044,Manufacture of ice
We are engaged in manufacture of ice in our region.,11044,Manufacture of ice
Our business specializes in manufacture of soft drinks.,11045,Manufacture of soft drinks
We provide services related to manufacture of soft drinks.,11045,Manufacture of soft drinks
We are engaged in manufacture of soft drinks in our region.,11045,Manufacture of soft drinks
Our business specializes in manufacture of other non-alcoholic beverages n.e.c..,11049,Manufacture of other non-alcoholic beverages n.e.c.
We provide services related to manufacture of other non-alcoholic beverages n.e.c..,11049,Manufacture of other non-alcoholic beverages n.e.c.
We are engaged in manufacture of other non-alcoholic beverages n.e.c. in our region.,11049,Manufacture of other non-alcoholic beverages n.e.c.
Our business specializes in stemming and redrying of tobacco.,12001,Stemming and redrying of tobacco
We provide services related to stemming and redrying of tobacco.,12001,Stemming and redrying of tobacco
We are engaged in stemming and redrying of tobacco in our region.,12001,Stemming and redrying of tobacco
Our business specializes in manufacture of bidi.,12002,Manufacture of bidi
We provide services related to manufacture of bidi.,12002,Manufacture of bidi
We are engaged in manufacture of bidi in our region.,12002,Manufacture of bidi
"Our business specializes in manufacture of cigarettes, cigarette tobacco.",12003,"Manufacture of cigarettes, cigarette tobacco"
"We provide services related to manufacture of cigarettes, cigarette tobacco.",12003,"Manufacture of cigarettes, cigarette tobacco"
"We are engaged in manufacture of cigarettes, cigarette tobacco in our region.",12003,"Manufacture of cigarettes, cigarette tobacco"
Our business specializes in manufacture of cigars and cheroots.,12004,Manufacture of cigars and cheroots
We provide services related to manufacture of cigars and cheroots.,12004,Manufacture of cigars and cheroots
We are engaged in manufacture of cigars and cheroots in our region.,12004,Manufacture of cigars and cheroots
Our business specializes in manufacture of snuff.,12005,Manufacture of snuff
We provide services related to manufacture of snuff.,12005,Manufacture of snuff
We are engaged in manufacture of snuff in our region.,12005,Manufacture of snuff
Our business specializes in manufacture of zarda.,12006,Manufacture of zarda
We provide services related to manufacture of zarda.,12006,Manufacture of zarda
We are engaged in manufacture of zarda in our region.,12006,Manufacture of zarda
Our business specializes in manufacture of catechu(katha) and chewing lime.,12007,Manufacture of catechu(katha) and chewing lime
We provide services related to manufacture of catechu(katha) and chewing lime.,12007,Manufacture of catechu(katha) and chewing lime
We are engaged in manufacture of catechu(katha) and chewing lime in our region.,12007,Manufacture of catechu(katha) and chewing lime
Our business specializes in manufacture of pan masala and related products..,12008,Manufacture of pan masala and related products.
We provide services related to manufacture of pan masala and related products..,12008,Manufacture of pan masala and related products.
We are engaged in manufacture of pan masala and related products. in our region.,12008,Manufacture of pan masala and related products.
Our business specializes in manufacture of other tobacco products including chewing tobacco n.e.c..,12009,Manufacture of other tobacco products including chewing tobacco n.e.c.
We provide services related to manufacture of other tobacco products including chewing tobacco n.e.c..,12009,Manufacture of other tobacco products including chewing tobacco n.e.c.
We are engaged in manufacture of other tobacco products including chewing tobacco n.e.c. in our region.,12009,Manufacture of other tobacco products including chewing tobacco n.e.c.
Our business specializes in preparation and spinning of cotton fiber including blended* cotton.,13111,Preparation and spinning of cotton fiber including blended* cotton
We provide services related to preparation and spinning of cotton fiber including blended* cotton.,13111,Preparation and spinning of cotton fiber including blended* cotton
We are engaged in preparation and spinning of cotton fiber including blended* cotton in our region.,13111,Preparation and spinning of cotton fiber including blended* cotton
Our business specializes in preparation and spinning of silk fiber including blended* silk.,13112,Preparation and spinning of silk fiber including blended* silk
We provide services related to preparation and spinning of silk fiber including blended* silk.,13112,Preparation and spinning of silk fiber including blended* silk
We are engaged in preparation and spinning of silk fiber including blended* silk in our region.,13112,Preparation and spinning of silk fiber including blended* silk
"Our business specializes in preparation and spinning of wool, including other animal hair and blended*.",13113,"Preparation and spinning of wool, including other animal hair and blended*"
"We provide services related to preparation and spinning of wool, including other animal hair and blended*.",13113,"Preparation and spinning of wool, including other animal hair and blended*"
"We are engaged in preparation and spinning of wool, including other animal hair and blended* in our region.",13113,"Preparation and spinning of wool, including other animal hair and blended*"
Our business specializes in preparation and spinning of man-made fiber including blended* man-made.,13114,Preparation and spinning of man-made fiber including blended* man-made
We provide services related to preparation and spinning of man-made fiber including blended* man-made.,13114,Preparation and spinning of man-made fiber including blended* man-made
We are engaged in preparation and spinning of man-made fiber including blended* man-made in our region.,13114,Preparation and spinning of man-made fiber including blended* man-made
"Our business specializes in preparation and spinning of jute, mesta and other natural fibers including.",13119,"Preparation and spinning of jute, mesta and other natural fibers including"
"We provide services related to preparation and spinning of jute, mesta and other natural fibers including.",13119,"Preparation and spinning of jute, mesta and other natural fibers including"
"We are engaged in preparation and spinning of jute, mesta and other natural fibers including in our region.",13119,"Preparation and spinning of jute, mesta and other natural fibers including"
"Our business specializes in weaving, manufacture of cotton and cotton mixture fabrics..",13121,"Weaving, manufacture of cotton and cotton mixture fabrics."
"We provide services related to weaving, manufacture of cotton and cotton mixture fabrics..",13121,"Weaving, manufacture of cotton and cotton mixture fabrics."
"We are engaged in weaving, manufacture of cotton and cotton mixture fabrics. in our region.",13121,"Weaving, manufacture of cotton and cotton mixture fabrics."
"Our business specializes in weaving, manufacture of silk and silk mixture fabrics..",13122,"Weaving, manufacture of silk and silk mixture fabrics."
"We provide services related to weaving, manufacture of silk and silk mixture fabrics..",13122,"Weaving, manufacture of silk and silk mixture fabrics."
"We are engaged in weaving, manufacture of silk and silk mixture fabrics. in our region.",13122,"Weaving, manufacture of silk and silk mixture fabrics."
"Our business specializes in weaving, manufacture of wool and wool mixture fabrics..",13123,"Weaving, manufacture of wool and wool mixture fabrics."
"We provide services related to weaving, manufacture of wool and wool mixture fabrics..",13123,"Weaving, manufacture of wool and wool mixture fabrics."
"We are engaged in weaving, manufacture of wool and wool mixture fabrics. in our region.",13123,"Weaving, manufacture of wool and wool mixture fabrics."
"Our business specializes in weaving, manufacturing of man-made fiber and man-made mixture fabrics..",13124,"Weaving, manufacturing of man-made fiber and man-made mixture fabrics."
"We provide services related to weaving, manufacturing of man-made fiber and man-made mixture fabrics..",13124,"Weaving, manufacturing of man-made fiber and man-made mixture fabrics."
"We are engaged in weaving, manufacturing of man-made fiber and man-made mixture fabrics. in our region.",13124,"Weaving, manufacturing of man-made fiber and man-made mixture fabrics."
"Our business specializes in weaving of jute, mesta and other natural fibers including blended natural.",13129,"Weaving of jute, mesta and other natural fibers including blended natural"
"We provide services related to weaving of jute, mesta and other natural fibers including blended natural.",13129,"Weaving of jute, mesta and other natural fibers including blended natural"
"We are engaged in weaving of jute, mesta and other natural fibers including blended natural in our region.",13129,"Weaving of jute, mesta and other natural fibers including blended natural"
Our business specializes in finishing of cotton and blended cotton textiles..,13131,Finishing of cotton and blended cotton textiles.
We provide services related to finishing of cotton and blended cotton textiles..,13131,Finishing of cotton and blended cotton textiles.
We are engaged in finishing of cotton and blended cotton textiles. in our region.,13131,Finishing of cotton and blended cotton textiles.
Our business specializes in finishing of silk and blended silk textiles..,13132,Finishing of silk and blended silk textiles.
We provide services related to finishing of silk and blended silk textiles..,13132,Finishing of silk and blended silk textiles.
We are engaged in finishing of silk and blended silk textiles. in our region.,13132,Finishing of silk and blended silk textiles.
Our business specializes in finishing of wool and blended wool textiles..,13133,Finishing of wool and blended wool textiles.
We provide services related to finishing of wool and blended wool textiles..,13133,Finishing of wool and blended wool textiles.
We are engaged in finishing of wool and blended wool textiles. in our region.,13133,Finishing of wool and blended wool textiles.
Our business specializes in finishing of man-made and blended man-made textiles..,13134,Finishing of man-made and blended man-made textiles.
We provide services related to finishing of man-made and blended man-made textiles..,13134,Finishing of man-made and blended man-made textiles.
We are engaged in finishing of man-made and blended man-made textiles. in our region.,13134,Finishing of man-made and blended man-made textiles.
"Our business specializes in finishing of jute, mesta and other vegetable textiles fabrics.",13135,"Finishing of jute, mesta and other vegetable textiles fabrics"
"We provide services related to finishing of jute, mesta and other vegetable textiles fabrics.",13135,"Finishing of jute, mesta and other vegetable textiles fabrics"
"We are engaged in finishing of jute, mesta and other vegetable textiles fabrics in our region.",13135,"Finishing of jute, mesta and other vegetable textiles fabrics"
Our business specializes in activity related to screen printing.,13136,Activity related to screen printing
We provide services related to activity related to screen printing.,13136,Activity related to screen printing
We are engaged in activity related to screen printing in our region.,13136,Activity related to screen printing
Our business specializes in other activities relating to finishing of textile n.e.c..,13139,Other activities relating to finishing of textile n.e.c.
We provide services related to other activities relating to finishing of textile n.e.c..,13139,Other activities relating to finishing of textile n.e.c.
We are engaged in other activities relating to finishing of textile n.e.c. in our region.,13139,Other activities relating to finishing of textile n.e.c.
Our business specializes in manufacture of knitted and crocheted cotton fabrics.,13911,Manufacture of knitted and crocheted cotton fabrics
We provide services related to manufacture of knitted and crocheted cotton fabrics.,13911,Manufacture of knitted and crocheted cotton fabrics
We are engaged in manufacture of knitted and crocheted cotton fabrics in our region.,13911,Manufacture of knitted and crocheted cotton fabrics
Our business specializes in manufacture of knitted and crocheted woolen fabrics.,13912,Manufacture of knitted and crocheted woolen fabrics
We provide services related to manufacture of knitted and crocheted woolen fabrics.,13912,Manufacture of knitted and crocheted woolen fabrics
We are engaged in manufacture of knitted and crocheted woolen fabrics in our region.,13912,Manufacture of knitted and crocheted woolen fabrics
Our business specializes in manufacture of knitted and crocheted synthetic fabrics.,13913,Manufacture of knitted and crocheted synthetic fabrics
We provide services related to manufacture of knitted and crocheted synthetic fabrics.,13913,Manufacture of knitted and crocheted synthetic fabrics
We are engaged in manufacture of knitted and crocheted synthetic fabrics in our region.,13913,Manufacture of knitted and crocheted synthetic fabrics
Our business specializes in manufacture of other knitted and crocheted fabrics.,13919,Manufacture of other knitted and crocheted fabrics
We provide services related to manufacture of other knitted and crocheted fabrics.,13919,Manufacture of other knitted and crocheted fabrics
We are engaged in manufacture of other knitted and crocheted fabrics in our region.,13919,Manufacture of other knitted and crocheted fabrics
"Our business specializes in manufacture of curtains, bed covers and furnishings.",13921,"Manufacture of curtains, bed covers and furnishings"
"We provide services related to manufacture of curtains, bed covers and furnishings.",13921,"Manufacture of curtains, bed covers and furnishings"
"We are engaged in manufacture of curtains, bed covers and furnishings in our region.",13921,"Manufacture of curtains, bed covers and furnishings"
Our business specializes in manufacture of crocheted made up textile goods except apparel.,13922,Manufacture of crocheted made up textile goods except apparel
We provide services related to manufacture of crocheted made up textile goods except apparel.,13922,Manufacture of crocheted made up textile goods except apparel
We are engaged in manufacture of crocheted made up textile goods except apparel in our region.,13922,Manufacture of crocheted made up textile goods except apparel
Our business specializes in manufacture of mosquito nets.,13923,Manufacture of mosquito nets
We provide services related to manufacture of mosquito nets.,13923,Manufacture of mosquito nets
We are engaged in manufacture of mosquito nets in our region.,13923,Manufacture of mosquito nets
"Our business specializes in manufacture of bedding, quilts pillows, sleeping bags etc..",13924,"Manufacture of bedding, quilts pillows, sleeping bags etc."
"We provide services related to manufacture of bedding, quilts pillows, sleeping bags etc..",13924,"Manufacture of bedding, quilts pillows, sleeping bags etc."
"We are engaged in manufacture of bedding, quilts pillows, sleeping bags etc. in our region.",13924,"Manufacture of bedding, quilts pillows, sleeping bags etc."
Our business specializes in manufacture of tarpaulin.,13925,Manufacture of tarpaulin
We provide services related to manufacture of tarpaulin.,13925,Manufacture of tarpaulin
We are engaged in manufacture of tarpaulin in our region.,13925,Manufacture of tarpaulin
Our business specializes in manufacture of blankets.,13926,Manufacture of blankets
We provide services related to manufacture of blankets.,13926,Manufacture of blankets
We are engaged in manufacture of blankets in our region.,13926,Manufacture of blankets
"Our business specializes in manufacture of other made-up textile articles, except apparel n.e.c..",13929,"Manufacture of other made-up textile articles, except apparel n.e.c."
"We provide services related to manufacture of other made-up textile articles, except apparel n.e.c..",13929,"Manufacture of other made-up textile articles, except apparel n.e.c."
"We are engaged in manufacture of other made-up textile articles, except apparel n.e.c. in our region.",13929,"Manufacture of other made-up textile articles, except apparel n.e.c."
Our business specializes in manufacture of carpets and other floor coverings made of cotton.,13931,Manufacture of carpets and other floor coverings made of cotton
We provide services related to manufacture of carpets and other floor coverings made of cotton.,13931,Manufacture of carpets and other floor coverings made of cotton
We are engaged in manufacture of carpets and other floor coverings made of cotton in our region.,13931,Manufacture of carpets and other floor coverings made of cotton
Our business specializes in manufacture of carpets and other floor coverings made of wool.,13932,Manufacture of carpets and other floor coverings made of wool
We provide services related to manufacture of carpets and other floor coverings made of wool.,13932,Manufacture of carpets and other floor coverings made of wool
We are engaged in manufacture of carpets and other floor coverings made of wool in our region.,13932,Manufacture of carpets and other floor coverings made of wool
Our business specializes in manufacture of carpets and other floor coverings made of silk.,13933,Manufacture of carpets and other floor coverings made of silk
We provide services related to manufacture of carpets and other floor coverings made of silk.,13933,Manufacture of carpets and other floor coverings made of silk
We are engaged in manufacture of carpets and other floor coverings made of silk in our region.,13933,Manufacture of carpets and other floor coverings made of silk
Our business specializes in manufacture of carpets made of synthetic materials.,13934,Manufacture of carpets made of synthetic materials
We provide services related to manufacture of carpets made of synthetic materials.,13934,Manufacture of carpets made of synthetic materials
We are engaged in manufacture of carpets made of synthetic materials in our region.,13934,Manufacture of carpets made of synthetic materials
"Our business specializes in manufacture of carpets, and other floor coverings made of jute, mesta and.",13935,"Manufacture of carpets, and other floor coverings made of jute, mesta and"
"We provide services related to manufacture of carpets, and other floor coverings made of jute, mesta and.",13935,"Manufacture of carpets, and other floor coverings made of jute, mesta and"
"We are engaged in manufacture of carpets, and other floor coverings made of jute, mesta and in our region.",13935,"Manufacture of carpets, and other floor coverings made of jute, mesta and"
Our business specializes in manufacture of other floor coverings n.e.c..,13939,Manufacture of other floor coverings n.e.c.
We provide services related to manufacture of other floor coverings n.e.c..,13939,Manufacture of other floor coverings n.e.c.
We are engaged in manufacture of other floor coverings n.e.c. in our region.,13939,Manufacture of other floor coverings n.e.c.
"Our business specializes in manufacture of thread, including thread ball making.",13941,"Manufacture of thread, including thread ball making"
"We provide services related to manufacture of thread, including thread ball making.",13941,"Manufacture of thread, including thread ball making"
"We are engaged in manufacture of thread, including thread ball making in our region.",13941,"Manufacture of thread, including thread ball making"
Our business specializes in manufacture of cordage or rope made of jute.,13942,Manufacture of cordage or rope made of jute
We provide services related to manufacture of cordage or rope made of jute.,13942,Manufacture of cordage or rope made of jute
We are engaged in manufacture of cordage or rope made of jute in our region.,13942,Manufacture of cordage or rope made of jute
Our business specializes in manufacture of cordage or rope made of coir.,13943,Manufacture of cordage or rope made of coir
We provide services related to manufacture of cordage or rope made of coir.,13943,Manufacture of cordage or rope made of coir
We are engaged in manufacture of cordage or rope made of coir in our region.,13943,Manufacture of cordage or rope made of coir
Our business specializes in manufacture of rope and cordage made of synthetic material.,13944,Manufacture of rope and cordage made of synthetic material
We provide services related to manufacture of rope and cordage made of synthetic material.,13944,Manufacture of rope and cordage made of synthetic material
We are engaged in manufacture of rope and cordage made of synthetic material in our region.,13944,Manufacture of rope and cordage made of synthetic material
"Our business specializes in manufacture of knotted netting of twine, cordage or rope (other than.",13945,"Manufacture of knotted netting of twine, cordage or rope (other than"
"We provide services related to manufacture of knotted netting of twine, cordage or rope (other than.",13945,"Manufacture of knotted netting of twine, cordage or rope (other than"
"We are engaged in manufacture of knotted netting of twine, cordage or rope (other than in our region.",13945,"Manufacture of knotted netting of twine, cordage or rope (other than"
"Our business specializes in manufacture of tapes, newar and wicks.",13946,"Manufacture of tapes, newar and wicks"
"We provide services related to manufacture of tapes, newar and wicks.",13946,"Manufacture of tapes, newar and wicks"
"We are engaged in manufacture of tapes, newar and wicks in our region.",13946,"Manufacture of tapes, newar and wicks"
Our business specializes in manufacture of other cordage or rope n.e.c..,13949,Manufacture of other cordage or rope n.e.c.
We provide services related to manufacture of other cordage or rope n.e.c..,13949,Manufacture of other cordage or rope n.e.c.
We are engaged in manufacture of other cordage or rope n.e.c. in our region.,13949,Manufacture of other cordage or rope n.e.c.
Our business specializes in embroidery work and making of laces and fringes.,13991,Embroidery work and making of laces and fringes
We provide services related to embroidery work and making of laces and fringes.,13991,Embroidery work and making of laces and fringes
We are engaged in embroidery work and making of laces and fringes in our region.,13991,Embroidery work and making of laces and fringes
Our business specializes in zari work and other ornamental trimmings.,13992,Zari work and other ornamental trimmings
We provide services related to zari work and other ornamental trimmings.,13992,Zari work and other ornamental trimmings
We are engaged in zari work and other ornamental trimmings in our region.,13992,Zari work and other ornamental trimmings
Our business specializes in manufacture of linolium and similar products.,13993,Manufacture of linolium and similar products
We provide services related to manufacture of linolium and similar products.,13993,Manufacture of linolium and similar products
We are engaged in manufacture of linolium and similar products in our region.,13993,Manufacture of linolium and similar products
Our business specializes in manufacture of gas mantles.,13994,Manufacture of gas mantles
We provide services related to manufacture of gas mantles.,13994,Manufacture of gas mantles
We are engaged in manufacture of gas mantles in our region.,13994,Manufacture of gas mantles
"Our business specializes in manufacture of made-up canvas goods such tents, sails etc..",13995,"Manufacture of made-up canvas goods such tents, sails etc."
"We provide services related to manufacture of made-up canvas goods such tents, sails etc..",13995,"Manufacture of made-up canvas goods such tents, sails etc."
"We are engaged in manufacture of made-up canvas goods such tents, sails etc. in our region.",13995,"Manufacture of made-up canvas goods such tents, sails etc."
Our business specializes in manufacture of wadding of textile materials and articles of wadding such as.,13996,Manufacture of wadding of textile materials and articles of wadding such as
We provide services related to manufacture of wadding of textile materials and articles of wadding such as.,13996,Manufacture of wadding of textile materials and articles of wadding such as
We are engaged in manufacture of wadding of textile materials and articles of wadding such as in our region.,13996,Manufacture of wadding of textile materials and articles of wadding such as
"Our business specializes in manufacture of metallised yarn or gimped yarn, rubber thread or cord.",13997,"Manufacture of metallised yarn or gimped yarn, rubber thread or cord"
"We provide services related to manufacture of metallised yarn or gimped yarn, rubber thread or cord.",13997,"Manufacture of metallised yarn or gimped yarn, rubber thread or cord"
"We are engaged in manufacture of metallised yarn or gimped yarn, rubber thread or cord in our region.",13997,"Manufacture of metallised yarn or gimped yarn, rubber thread or cord"
Our business specializes in manufacture of waterproof textile excluding tarpulin.,13998,Manufacture of waterproof textile excluding tarpulin
We provide services related to manufacture of waterproof textile excluding tarpulin.,13998,Manufacture of waterproof textile excluding tarpulin
We are engaged in manufacture of waterproof textile excluding tarpulin in our region.,13998,Manufacture of waterproof textile excluding tarpulin
Our business specializes in manufacture of other textiles/textile products n.e.c..,13999,Manufacture of other textiles/textile products n.e.c.
We provide services related to manufacture of other textiles/textile products n.e.c..,13999,Manufacture of other textiles/textile products n.e.c.
We are engaged in manufacture of other textiles/textile products n.e.c. in our region.,13999,Manufacture of other textiles/textile products n.e.c.
Our business specializes in manufacture of all types of textile garments and clothing accessories.,14101,Manufacture of all types of textile garments and clothing accessories
We provide services related to manufacture of all types of textile garments and clothing accessories.,14101,Manufacture of all types of textile garments and clothing accessories
We are engaged in manufacture of all types of textile garments and clothing accessories in our region.,14101,Manufacture of all types of textile garments and clothing accessories
Our business specializes in manufacture of rain coats of waterproof textile fabrics or plastic sheetings.,14102,Manufacture of rain coats of waterproof textile fabrics or plastic sheetings
We provide services related to manufacture of rain coats of waterproof textile fabrics or plastic sheetings.,14102,Manufacture of rain coats of waterproof textile fabrics or plastic sheetings
We are engaged in manufacture of rain coats of waterproof textile fabrics or plastic sheetings in our region.,14102,Manufacture of rain coats of waterproof textile fabrics or plastic sheetings
"Our business specializes in manufacture of hats, caps and other clothing accessories such as gloves,.",14103,"Manufacture of hats, caps and other clothing accessories such as gloves,"
"We provide services related to manufacture of hats, caps and other clothing accessories such as gloves,.",14103,"Manufacture of hats, caps and other clothing accessories such as gloves,"
"We are engaged in manufacture of hats, caps and other clothing accessories such as gloves, in our region.",14103,"Manufacture of hats, caps and other clothing accessories such as gloves,"
Our business specializes in manufacture of wearing apparel made of leather and substitutes of leather.,14104,Manufacture of wearing apparel made of leather and substitutes of leather
We provide services related to manufacture of wearing apparel made of leather and substitutes of leather.,14104,Manufacture of wearing apparel made of leather and substitutes of leather
We are engaged in manufacture of wearing apparel made of leather and substitutes of leather in our region.,14104,Manufacture of wearing apparel made of leather and substitutes of leather
Our business specializes in custom tailoring.,14105,Custom tailoring
We provide services related to custom tailoring.,14105,Custom tailoring
We are engaged in custom tailoring in our region.,14105,Custom tailoring
